source_file_path,source_class_name,source_function_name,reference_file_path,reference_class_name,reference_function_name
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address
clubjt_impl/api/user/service/address.py,AddressService,validate_encode,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address
clubjt_impl/api/user/service/address.py,AddressService,validate_cjk,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address
clubjt_impl/api/user/service/address.py,AddressService,validate_encode,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address
clubjt_impl/api/user/service/address.py,AddressService,validate_join_address,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address
clubjt_impl/api/user/service/address.py,AddressService,validate_input_user_last_name,clubjt_impl/api/user/service/address.py,AddressService,check_name_and_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,check_name_and_address
clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address,clubjt_impl/api/user/service/address.py,AddressService,check_name_and_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,check_name_and_address
clubjt_impl/api/user/service/address.py,AddressService,validate_duplicate_user_info,clubjt_impl/api/user/service/address.py,AddressService,check_name_and_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,check_name_and_address
clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address_missmatch,clubjt_impl/api/user/service/address.py,AddressService,check_name_and_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,check_name_and_address
clubjt_impl/api/user/service/address.py,AddressService,replace_except_char,clubjt_impl/api/user/service/address.py,AddressService,format_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,format_address
clubjt_impl/api/user/service/address.py,AddressService,replace_except_char,clubjt_impl/api/user/service/address.py,AddressService,format_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,format_address
clubjt_impl/api/user/service/address.py,AddressService,_set_user_address,clubjt_impl/api/user/service/address.py,AddressService,register_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,register_address
clubjt_impl/api/user/service/address.py,AddressService,_judge_address_authentication_type,clubjt_impl/api/user/service/address.py,AddressService,update_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,update_address
clubjt_impl/api/user/service/address.py,AddressService,_set_user_address,clubjt_impl/api/user/service/address.py,AddressService,update_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,update_address
clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address_missmatch
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address_missmatch
clubjt_impl/api/user/service/address.py,AddressService,,,,
clubjt_impl/api/user/service/address.py,AddressService,format_address,,,
